Headline,Industry,College-Name-1,Degree-Name-1,Field-Of-Study-1,Activities-and-Societies-1,Activities-and-Societies--1,Job-Title-1,Company-Name-1,Dates-Employed-1,Employment-Duration-1,Location-1,College-Name-2,Degree-Name-2,Field-Of-Study-2,Activities-and-Societies-2,Activities-and-Societies--2,Job-Title-2,Company-Name-2,Dates-Employed-2,Employment-Duration-2,Location-2,College-Name-3,Degree-Name-3,Field-Of-Study-3,Activities-and-Societies-3,Activities-and-Societies--3,Job-Title-3,Company-Name-3,Dates-Employed-3,Employment-Duration-3,Location-3,College-Name-4,Degree-Name-4,Field-Of-Study-4,Activities-and-Societies-4,Activities-and-Societies--4,Job-Title-4,Company-Name-4,Dates-Employed-4,Employment-Duration-4,Location-4,College-Name-5,Degree-Name-5,Field-Of-Study-5,Activities-and-Societies-5,Activities-and-Societies--5,Job-Title-5,Company-Name-5,Dates-Employed-5,Employment-Duration-5,Location-5,College-Name-6,Degree-Name-6,Field-Of-Study-6,Activities-and-Societies-6,Activities-and-Societies--6,Job-Title-6,Company-Name-6,Dates-Employed-6,Employment-Duration-6,Location-6,College-Name-7,Degree-Name-7,Field-Of-Study-7,Activities-and-Societies-7,Activities-and-Societies--7,Job-Title-7,Company-Name-7,Dates-Employed-7,Employment-Duration-7,Location-7,College-Name-8,Degree-Name-8,Field-Of-Study-8,Activities-and-Societies-8,Activities-and-Societies--8,Job-Title-8,Company-Name-8,Dates-Employed-8,Employment-Duration-8,Location-8,College-Name-9,Degree-Name-9,Field-Of-Study-9,Activities-and-Societies-9,Activities-and-Societies--9,Job-Title-9,Company-Name-9,Dates-Employed-9,Employment-Duration-9,Location-9,College-Name-10,Degree-Name-10,Field-Of-Study-10,Activities-and-Societies-10,Activities-and-Societies--10,Job-Title-10,Company-Name-10,Dates-Employed-10,Employment-Duration-10,Location-10,College-Name-11,Degree-Name-11,Field-Of-Study-11,Activities-and-Societies-11,Activities-and-Societies--11,Job-Title-11,Company-Name-11,Dates-Employed-11,Employment-Duration-11,Location-11,College-Name-12,Degree-Name-12,Field-Of-Study-12,Activities-and-Societies-12,Activities-and-Societies--12,Job-Title-12,Company-Name-12,Dates-Employed-12,Employment-Duration-12,Location-12,College-Name-13,Degree-Name-13,Field-Of-Study-13,Activities-and-Societies-13,Activities-and-Societies--13,Job-Title-13,Company-Name-13,Dates-Employed-13,Employment-Duration-13,Location-13,skills
Senior Director Financial Planning & Analysis at PATH,Finance,MIT Sloan School of Management,Master of Business Administration (MBA),Strategy - Leadership,,,Senior Director Financial Planning & Analysis,PATH,Oct 2020 – Present,1 yr 1 mo,"Seattle, Washington, United States",Université des Sciences sociales (Toulouse I),"Master in Auditing, Financial control and Information systems",,,,Chief Financial Officer,Intech,Oct 2015 – Sep 2019,4 yrs,,Université des Sciences sociales (Toulouse I),Bachelor of Business Administration (B.B.A.),Finance and Management,,,Consultant Manager,"Grant Thornton LLP (formerly ARRYVE, LLC)",Sep 2014 – Sep 2015,1 yr 1 mo,Greater Seattle Area,,,,,,Regional Finance Director - European service units,Fenner Dunlop Americas,Jul 2010 – Jun 2013,3 yrs,,,,,,,Regional Finance Director - North Africa region,Merck,Jan 2008 – Jul 2010,2 yrs 7 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance Manager at Dyson,Finance,University of Warwick,Bachelor of Science (BSc),Economics,,,"Finance Manager, France",Dyson,Jul 2021 – Present,4 mos,"Paris, Île-de-France, France",Hayes School,,"Mathematics, Economics, French, Drama and Theatre Studies",,,Strategic Revenue Management Leader,Mars,Oct 2018 – Apr 2020,1 yr 7 mos,"Paris 16, Île-de-France, France",,,,,,Responsible Sourcing Intern,Mars,Jun 2014 – Sep 2014,4 mos,,,,,,,Sourcing Intern,Barclays,Mar 2014 – Apr 2014,2 mos,"London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Partner, Expert Finance Management Solutions at International CFO Services",Finance,HEC School of Management,Master of Business Administration (M.B.A.),"Finance, Accounting, Taxation",,,Partner,International CFO Services,Jan 2016 – Present,5 yrs 10 mos,"Paris Area, France",University of Pennsylvania - The Wharton School,MBA Exchange,"Finance, Strategy",,,Finance and IT/IS Director France,DS Smith Packaging,Aug 2013 – Jul 2015,2 yrs,"Paris Area, France",University of Amsterdam,J.D.,Dutch Law and International (EC) Law,,"Member of the Editorial Board of Ars Aequi (National Dutch Law Magazine) for the Law Faculty of the University of Amsterdam (1978-1981);Intern European Commission Directorate-General Competition (DG IV), Brussels (1983)",CFO,ESI Group,Sep 2010 – Jul 2013,2 yrs 11 mos,"Paris, France",,,,,,CFO Division Remote Sites + Region Sodexo Asia - Australia,Sodexo,Sep 2006 – Apr 2010,3 yrs 8 mos,"Paris, France",,,,,,"Director, Project Manager Sarbanes Oxley",Lafarge,2005 – 2006,1 yr,"Paris Area, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalping- trend following- intraday trading- technical analyst,Finance,Université d'Orléans,Master degree in Finance and Bank option International economy and macroeconomics,"Finance and Bank option International economy, econometrics and macroeconomics",,,Scalping- intraday trading- swing trading- technical analyst,Independent,Jun 2016 – Present,5 yrs 5 mos,Western Europ,Université d'Orléans,Bachelor’s degree in International Economy option Finance,International Economics and finance,,,"Financial advisor, manager",Cousin Jacks Pasty Co.,Aug 2014 – Apr 2016,1 yr 9 mos,"Sydney, Australia",Lycee Pothier,Baccalaureate C,Mathematics and physics,,,Investment risk and quantitative market risk modeling manager,Chappuis Halder & Cie,Jul 2013 – Dec 2013,6 mos,"London, United Kingdom & Paris",,,,,,"Managing consultant, market risk expert",OTC Conseil,May 2010 – Jan 2012,1 yr 9 mos,,,,,,,Quantitative Market risk manager in Asset Management,IAG,Jul 2007 – Jun 2009,2 yrs,"Sydney, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incubation,Finance,Join Lion,,,,,Startup Engagement Manager,La French Tech,Apr 2020 – Present,1 yr 7 mos,"Paris, Île-de-France, France",Institut Supérieur de Gestion,Master of Business Administration (MBA) Finance and International markets,,,,Innovation Project Manager,RATP Dev,Sep 2018 – Apr 2020,1 yr 8 mos,,St. John's University,Management and Finance,,,,Project Manager,Paris&Co,May 2017 – Jun 2018,1 yr 2 mos,"Région de Paris, France",,,,,,Digital Marketer,NFinance Securities,Dec 2014 – Jan 2015,2 mos,"Région de Paris, France",,,,,,Business development / webmarketing,for startups,Jan 2013 – Sep 2014,1 yr 9 mos,"Asia, Canada and France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directeur administratif et financier France chez Korian,Finance,ESSEC Business School,Executive MBA,,,,Directeur administratif et financier France / CFO France,Korian,May 2018 – Present,3 yrs 6 mos,"Région de Paris, France",Université d'Évry,MSG,Finance,,,Head of Business Performance and Strategy,BRICO DEPOT,Apr 2013 – Mar 2014,1 yr,,,,,,,Senior Financial Analyst,Mc Donalds,Oct 2002 – Sep 2007,5 yrs,,,,,,,Business Analyst,MDTVISION,Oct 1999 – Oct 2002,3 yrs 1 mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operations Finance and Strategy Director,Finance,EGADE Business School,Master of Business Administration - MBA,Business/Corporate Communications,,,Operations Finance and Strategy Advisor,http://postingtargets1staffsperforman.godaddysites.com/,Apr 2013 – Present,8 yrs 7 mos,"Chicago, Illinois, United States",Universidad Panamericana,Diplomado,Contabilidad Internacional,,,General Manager,Standard Heating & Cooling,Jun 2020 – Jan 2021,8 mos,"Chicago, Illinois, United States",Universidad Autónoma de Guadalajara,Alta Dirección,Alta dirección,,,Chief Financial Officer,United Neighborhood Organization,Apr 2019 – Feb 2020,11 mos,United States,,,,,,Regional Financial Controller,Grupo Dico México,Nov 2015 – Mar 2019,3 yrs 5 mos,"Guadalajara, Jalisco, Mexico",,,,,,Director of the Coordination of Productive Units,Universidad Autónoma de Guadalajara,Aug 2008 – Nov 2015,7 yrs 4 mos,"Zapopan y alrededores, México",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am a senior at Baruch College majoring in International Business double minoring in finance and sociology.Pursuing internship opportunities in the financial sector.,Finance,Baruch College,Bachelor of Business Administration - BBA,International Business,,Chi Alpha Epsilon,Managing Editor,Refract Magazine,Aug 2021 – Present,3 mos,New York City Metropolitan Area,,,,,,Native Partner,Conversation Partners Program,Oct 2020 – Present,1 yr 1 mo,New York City Metropolitan Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Communication,Microsoft Office,Writing"
"Director, Strategy & Policy at UK Finance",Finance,University of Bristol,BSc,Politics,,,"Director, Strategy & Policy",UK Finance,Jan 2021 – Present,10 mos,"London, United Kingdom","Presentation College, Reading",,,,,Head of Group Regulatory Policy,Lloyds Banking Group,Apr 2014 – Jul 2018,4 yrs 4 mos,"London, United Kingdom","Oxford Road Primary School, Reading",,,,,"Consultant, Policy, Risk & Research Division",Financial Conduct Authority,Jul 2013 – Apr 2014,10 mos,"London, United Kingdom",,,,,,"Director, Regulatory Development & Nations",Ofcom,Jul 2010 – Jun 2013,3 yrs,"London, United Kingdom",,,,,,"Director, Trade Operations",Department of Trade and Industry,Jun 2004 – Aug 2006,2 yrs 3 mos,"London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EVP, CFO, Director of Finance",Finance,The London School of Economics and Political Science (LSE),Doctor of Philosophy (Ph.D.),Business/Managerial Economics,1979,,Finance and Insurance,Iependent Business Consoltant,Nov 1996 – Present,25 yrs,"San Francisco Bay Area, CA USA",,,,,,VP Finance and Sales Manaement,Groupetti Inc.,Mar 2013 – Aug 2015,2 yrs 6 mos,"Visalia, California Area",,,,,,Manager,Neo Advertising,Mar 2004 – Oct 2006,2 yrs 8 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chief Accountant and Credit Controller  at BUCKINGHAM FINE ART LIMITED,Finance,ACCA,F1 Accountant,Business F2 Management Accounting,,,Chief Accountant and Credit Controller,BUCKINGHAM FINE ART LIMITED,Mar 2021 – Present,8 mos,"Bletchley, England, United Kingdom",BPP Professional Education,,2004,,,Finance Manager,Buckingham fine art,Sep 2020 – Mar 2021,7 mos,,"Cassio West Hertfordshire College, Watford",NVQ,AAT,,,Project Accountant,SSI SCHÄFER,Apr 2017 – Aug 2020,3 yrs 5 mos,"Towcester, England, United Kingdom",,,,,,Project Accountant,"P&MM, part of the Sodexo family",Sep 2010 – Nov 2016,6 yrs 3 mos,"Linford Wood, Milton Keynes",,,,,,Assistant Finance Analyst,Intervet/Schering-Plough Animal Health,Feb 2010 – Aug 2010,7 mos,"Walton Manor, Walton, Milton Keynes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head of Trust & Safety at Gemini,Finance,Columbia Engineering,BS,"Electrical Engineering, Philosophy",Teaching Assistant - Introduction to Electrical Engineering,,"Director, Trust & Safety",Gemini,Nov 2020 – Present,1 yr,Greater New York City Area,NYU Stern School of Business,MBA,"Finance, Strategy",Teaching Assistant - Corporate Finance,,Associate Principal,Google,Nov 2017 – Sep 2018,11 mos,San Francisco Bay Area,Deutsche Schule Istanbul / Alman Lisesi,High School Diploma,,,,Associate,Karbone,Jan 2013 – Nov 2013,11 mos,Greater New York City Area,,,,,,Summer Associate,Barclays Capital,Jun 2012 – Aug 2012,3 mos,Greater New York City Area,,,,,,Associate Principal,MMG Partners,Jan 2011 – Jul 2011,7 mos,Greater New York City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EdTech Product Development/Product Management, eTranscript Consultant. Entrepreneur, Parchment Co-Founder. Certified Scrum Product Owner (CSPO)",Product Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experienced Product Manager and Growth Expert,Product Manager,Harvard Law School,JD,Law,,,Chief Operating Officer,Refereum,Jul 2018 – Aug 2019,1 yr 2 mos,"San Francisco, CA",Massachusetts Institute of Technology,BS,Computer Science,,,Product Manager,Facebook,Mar 2017 – Jan 2018,11 mos,"Menlo Park, CA",,,,,,Vice-President of Products and Growth,HackerRank,Dec 2015 – Feb 2017,1 yr 3 mos,"Palo Alto, CA",,,,,,Product Manager,Facebook,Dec 2013 – Nov 2015,2 yrs,"Menlo Park, CA",,,,,,Vice-President of Growth,Nextdoor.com,Jan 2013 – Jun 2013,6 mos,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Product Manager - Platform at Quantcast,Product Manager,Georgetown University,Ph.D.,Linguistics,,"Ph.D. Research Fellow, President Georgetown Students Linguistics Association",Lead Product Manager,Quantcast,Apr 2019 – Present,2 yrs 7 mos,San Francisco Bay Area,North Carolina State University,M.A.,Linguistics,,Teaching Assistantship,Product Manager - Content & Discovery,Flipboard,Oct 2016 – Dec 2018,2 yrs 3 mos,"Palo Alto, CA",,,,,,Senior Product Manager,Texture,Jun 2014 – Aug 2016,2 yrs 3 mos,Menlo Park,,,,,,Product Manager,AutoReturn,Jul 2009 – Mar 2014,4 yrs 9 mos,San Francisco,,,,,,"Senior Product Manager, Search & Advertising",Zvents,Sep 2008 – Jul 2009,11 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sr. Director of Product Management, Product Leader (NYSE:PAR)",Product Manager,San Diego State University-California State University,BA,Interdisciplinary Studies / CS Emphasis,,KCR -  General Manager,Sr. Director / General Manager,PAR Technology,Aug 2021 – Present,3 mos,"Encinitas, California, United States",Copenhagen Business School,,Strategic Management and Innovation,,,Sr. Product Manager,GoPro,Sep 2017 – Apr 2021,3 yrs 8 mos,"Carlsbad, CA",Grossmont High School,,,,"DECA, Toastmasters, Debate Team","Director, Product Management",Verve,Nov 2015 – Aug 2017,1 yr 10 mos,Greater San Diego Area,,,,,,Director of Product,"LocalStack (Formerly MojoPages, Inc.)",Jun 2014 – Nov 2015,1 yr 6 mos,Greater San Diego Area,,,,,,Sr. Product Manager / Market Lead,"hibu / Yellowbook, Inc.",Jul 2013 – Jun 2014,1 yr,Greater San Diego Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
